City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,quellon,-43.1167,-73.6167,7.45,81,100,4.81,CL,1715236461
1,san patricio,28.017,-97.5169,27.31,93,100,2.94,US,1715236462
2,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,67,75,11.0,RU,1715236224
3,florina,40.782,21.4098,15.15,71,100,1.92,GR,1715236464
4,tamiyah,29.4764,30.9612,27.68,17,1,1.39,EG,1715236464
5,edinburgh of the seven seas,-37.0676,-12.3116,14.28,70,84,13.77,SH,1715236465
6,nadym,65.5333,72.5167,-1.69,91,100,9.6,RU,1715236466
7,blackmans bay,-43.0167,147.3167,12.63,93,92,1.05,AU,1715236467
8,adamstown,-25.066,-130.1015,21.62,78,100,2.52,PN,1715236467
9,port-aux-francais,-49.35,70.2167,5.86,81,42,10.78,TF,1715236468
10,wanganui,-39.9333,175.05,7.26,57,0,4.34,NZ,1715236469
11,papatowai,-46.5619,169.4708,7.29,76,49,5.57,NZ,1715236470
12,grytviken,-54.2811,-36.5092,-3.25,69,5,2.44,GS,1715236470
13,saldanha,-33.0117,17.9442,6.03,74,0,1.96,ZA,1715236471
14,usinsk,65.9939,57.5281,-0.52,89,100,2.68,RU,1715236472
15,talnakh,69.4865,88.3972,-6.55,80,18,1.6,RU,1715236473
16,chegdomyn,51.1167,133.0167,9.23,38,100,5.53,RU,1715236473
17,whitehorse,60.7161,-135.0538,6.12,53,75,7.2,CA,1715236388
18,shakawe,-18.3667,21.85,22.53,31,0,2.36,BW,1715236475
19,bengkulu,-3.8004,102.2655,30.08,67,9,3.74,ID,1715236476
20,naze,28.3667,129.4833,21.51,55,27,6.25,JP,1715236477
21,olonkinbyen,70.9221,-8.7187,-3.05,91,100,14.86,SJ,1715236478
22,forster,-32.1667,152.5167,19.6,78,18,3.33,AU,1715236236
23,khabary,53.6259,79.5345,21.57,35,100,5.95,RU,1715236479
24,queenstown,-31.8976,26.8753,20.54,34,6,1.91,ZA,1715236257
25,popondetta,-8.7537,148.2534,24.33,98,100,1.08,PG,1715236481
26,la sierpe,2.8518,-77.6155,23.66,94,95,1.38,CO,1715236481
27,kulhudhuffushi,6.6221,73.07,29.93,74,96,4.63,MV,1715236482
28,yellowknife,62.456,-114.3525,10.31,60,75,4.63,CA,1715236390
29,stanley,54.868,-1.6985,11.96,87,87,3.6,GB,1715236484
30,praia da vitoria,38.7333,-27.0667,15.14,94,20,4.39,PT,1715236484
31,varva,50.495,32.7197,8.03,43,100,3.19,UA,1715236485
32,nar'yan-mar,67.6713,53.087,-4.94,88,100,7.15,RU,1715236487
33,nisko,50.5199,22.1397,13.25,76,10,1.34,PL,1715236488
34,nuku'alofa,-21.1333,-175.2,24.19,73,40,3.09,TO,1715236489
35,makuyuni,-4.7333,38.1,22.89,80,100,2.49,TZ,1715236490
36,margaret river,-33.95,115.0667,22.49,39,100,8.17,AU,1715236259
37,albany,42.6001,-73.9662,14.23,76,47,0.45,US,1715236491
38,ataq,14.5377,46.8319,30.37,33,100,4.54,YE,1715236492
39,puerto natales,-51.7236,-72.4875,-0.18,98,98,0.76,CL,1715236493
40,vadso,70.0744,29.7487,0.09,59,75,2.57,NO,1715236493
41,bredasdorp,-34.5322,20.0403,13.83,76,0,1.74,ZA,1715236494
42,menongue,-14.6585,17.691,22.06,48,4,3.9,AO,1715236495
43,waitangi,-43.9535,-176.5597,11.87,70,100,3.9,NZ,1715236496
44,ushuaia,-54.8,-68.3,-1.19,86,40,1.54,AR,1715236496
45,kodiak,57.79,-152.4072,1.73,64,100,5.14,US,1715236497
46,hawaiian paradise park,19.5933,-154.9731,22.24,94,75,2.06,US,1715236498
47,cinarli,41.4723,46.9156,13.09,71,61,2.75,AZ,1715236499
48,sumter,28.7086,-82.0831,25.97,86,2,2.34,US,1715236499
49,krasnaya yaruga,50.8008,35.6583,4.83,36,5,4.12,RU,1715236500
50,bethel,41.3712,-73.414,15.83,81,0,1.54,US,1715236501
51,al muwayh,22.4333,41.7583,30.33,22,0,7.32,SA,1715236502
52,iskateley,67.6803,53.1512,-4.99,88,100,7.15,RU,1715236503
53,fada,9.5667,8.3,25.61,71,100,2.9,NG,1715236503
54,kapuskasing,49.4169,-82.4331,6.0,70,100,3.09,CA,1715236504
55,mount pearl,47.5166,-52.7813,5.08,95,100,3.6,CA,1715236453
56,la peca,-5.6111,-78.435,19.93,94,97,0.94,PE,1715236506
57,touros,-5.1989,-35.4608,24.92,91,36,2.89,BR,1715236506
58,huai khot,15.2909,99.6166,39.85,28,0,3.96,TH,1715236507
59,fortuna,40.5982,-124.1573,9.81,94,0,4.12,US,1715236508
60,tralee,52.2704,-9.7026,11.2,85,100,1.62,IE,1715236509
61,pechora,65.1472,57.2244,1.59,91,100,4.47,RU,1715236510
62,vanino,49.0869,140.2543,17.18,56,100,2.25,RU,1715236511
63,hithadhoo,-0.6,73.0833,29.49,74,100,4.74,MV,1715236511
64,debre mark'os,10.35,37.7333,22.5,40,78,2.1,ET,1715236512
65,anadyr,64.75,177.4833,-4.72,74,40,5.0,RU,1715236513
66,posto fiscal rolim de moura,-13.0833,-62.2667,23.67,84,0,0.81,BR,1715236514
67,prado,-17.3411,-39.2208,22.81,94,35,2.27,BR,1715236515
68,tolanaro,-25.0319,46.9987,26.04,73,20,4.12,MG,1715236515
69,puerto ayora,-0.7393,-90.3518,23.64,98,100,1.79,EC,1715236516
70,kenai,60.5544,-151.2583,3.05,73,100,6.17,US,1715236517
71,villa regina,-39.1,-67.0667,7.43,46,4,4.16,AR,1715236518
72,hermanus,-34.4187,19.2345,14.5,72,0,2.29,ZA,1715236518
73,juye,35.3947,116.0883,30.93,19,0,6.89,CN,1715236519
74,mossel bay,-34.1831,22.146,12.96,75,0,1.5,ZA,1715236520
75,hakkari,37.5833,44.1667,8.88,66,40,1.03,TR,1715236521
76,utrik,11.2278,169.8474,27.3,79,100,8.03,MH,1715236521
77,kuching,1.55,110.3333,34.12,55,20,3.09,MY,1715236224
78,rio grande,-32.035,-52.0986,13.22,87,16,6.52,BR,1715236523
79,bayan,46.0833,127.4,20.57,15,60,4.13,CN,1715236524
80,tongchuanshi,35.0806,109.0897,26.12,41,16,5.75,CN,1715236524
81,san juan de miraflores,-12.1629,-76.9635,18.98,84,100,2.83,PE,1715236525
82,inirida,3.8653,-67.9239,23.72,99,100,0.45,CO,1715236526
83,sinabang,2.4803,96.3801,29.92,75,36,1.18,ID,1715236527
84,uturoa,-16.7333,-151.4333,27.83,75,50,5.73,PF,1715236528
85,hadibu,12.65,54.0333,30.83,61,100,0.58,YE,1715236528
86,kismayo,-0.3582,42.5454,28.07,78,96,7.32,SO,1715236529
87,port alfred,-33.5906,26.891,17.88,99,9,1.39,ZA,1715236530
88,vorgashor,67.5833,63.95,-2.33,74,100,10.52,RU,1715236531
89,ermoupolis,37.4423,24.9425,20.39,73,20,3.6,GR,1715236531
90,bubaque,11.2833,-15.8333,26.31,71,97,2.75,GW,1715236532
91,isafjordur,66.0755,-23.124,1.82,77,57,6.49,IS,1715236533
92,west island,-12.1568,96.8225,29.99,70,54,5.66,CC,1715236534
93,lebu,-37.6167,-73.65,7.66,85,99,2.03,CL,1715236534
94,polyarnyy,69.1989,33.4478,-1.66,85,97,2.13,RU,1715236535
95,puerto aysen,-45.4,-72.7,3.03,99,100,0.82,CL,1715236536
96,bilibino,68.0546,166.4372,0.48,90,8,0.85,RU,1715236537
97,saranac lake,44.3295,-74.1313,8.27,93,100,1.54,US,1715236538
98,tiksi,71.6872,128.8694,-1.45,81,96,2.13,RU,1715236538
99,duragan,41.4158,35.0544,21.39,46,100,0.53,TR,1715236539
100,mount isa,-20.7333,139.5,29.87,45,75,3.09,AU,1715236541
101,bandarbeyla,9.4942,50.8122,31.04,64,91,3.95,SO,1715236541
102,pisco,-13.7,-76.2167,17.79,94,52,1.03,PE,1715236528
103,iqaluit,63.7506,-68.5145,-6.15,79,40,3.09,CA,1715236543
104,moab,38.5733,-109.5498,12.03,31,100,6.04,US,1715236500
105,avarua,-21.2078,-159.775,28.03,89,75,4.12,CK,1715236544
106,nabire,-3.3667,135.4833,29.06,79,100,1.27,ID,1715236545
107,ola,59.5833,151.2833,3.41,81,33,2.27,RU,1715236546
108,udachny,66.4167,112.4,-4.2,68,100,6.16,RU,1715236547
109,noyabrsk,63.1994,75.4507,1.8,100,100,3.13,RU,1715236547
110,papao,-17.75,-149.55,26.82,77,29,7.77,PF,1715236548
111,andergrove,-21.0833,149.1833,24.8,83,100,6.62,AU,1715236549
112,siler city,35.7235,-79.4622,19.84,96,40,0.0,US,1715236550
113,dubbo,-32.25,148.6167,21.07,52,100,4.12,AU,1715236550
114,gaspe,48.8334,-64.4819,4.95,80,100,1.03,CA,1715236551
115,jamestown,42.097,-79.2353,9.8,93,100,3.09,US,1715236552
116,putina,-15.4667,-69.4333,6.61,73,83,2.13,PE,1715236553
117,badger,64.8,-147.5333,11.95,51,75,3.6,US,1715236553
118,college,64.8569,-147.8028,11.99,53,75,3.6,US,1715236554
119,chonchi,-42.6128,-73.8092,6.56,90,91,2.12,CL,1715236555
120,codrington,-38.2667,141.9667,15.15,74,68,4.26,AU,1715236556
121,georgetown,5.4112,100.3354,33.97,61,20,5.14,MY,1715236259
122,arar,30.9753,41.0381,24.01,15,0,4.12,SA,1715236558
123,umm kaddadah,13.6017,26.6876,32.74,10,92,5.25,SD,1715236559
124,ilulissat,69.2167,-51.1,-4.99,80,100,2.57,GL,1715236560
125,enewetak,11.3474,162.3373,27.52,80,75,9.24,MH,1715236560
126,dudinka,69.4058,86.1778,-6.29,89,51,5.36,RU,1715236561
127,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715236562
128,invercargill,-46.4,168.35,9.45,77,85,4.02,NZ,1715236563
129,tevriz,57.509,72.4042,16.98,51,100,7.15,RU,1715236564
130,viedma,-40.8135,-62.9967,5.7,59,0,3.32,AR,1715236564
131,tarawa,1.419,172.984,28.98,75,43,4.09,KI,1715236565
132,keflavik,64.0049,-22.5624,2.95,75,75,3.09,IS,1715236566
133,zherdevka,51.8486,41.4606,4.9,51,45,7.28,RU,1715236567
134,klaksvik,62.2266,-6.589,6.51,73,62,5.38,FO,1715236567
135,tazovsky,67.4667,78.7,-5.86,86,85,2.54,RU,1715236568
136,port elizabeth,-33.918,25.5701,19.06,81,75,1.54,ZA,1715236569
137,qaqortoq,60.7167,-46.0333,-0.71,81,84,2.14,GL,1715236570
138,port mathurin,-19.6833,63.4167,27.05,69,75,9.26,MU,1715236570
139,mishkino,55.3389,63.9175,9.87,77,100,7.72,RU,1715236572
140,thompson,55.7435,-97.8558,3.09,81,75,0.0,CA,1715236573
141,port shepstone,-30.7414,30.455,21.61,74,0,4.08,ZA,1715236574
142,peace river,56.2501,-117.286,11.48,49,20,4.63,CA,1715236574
143,atafu village,-8.5421,-172.5159,29.68,69,100,1.21,TK,1715236575
144,garissa,-0.4536,39.6401,29.61,52,95,9.41,KE,1715236576
145,el alto,-4.2714,-81.2147,21.05,83,100,3.69,PE,1715236577
146,eirunepe,-6.6603,-69.8736,24.49,97,99,0.9,BR,1715236578
147,maracacume,-2.0428,-45.9592,23.47,97,55,0.32,BR,1715236579
148,hit,33.6416,42.8251,26.93,21,0,0.58,IQ,1715236579
149,otelu rosu,45.5333,22.3667,16.35,92,100,1.42,RO,1715236580
150,al jumum,21.6169,39.6981,34.22,23,0,2.03,SA,1715236581
151,undurkhaan,47.3194,110.6556,12.24,42,100,8.37,MN,1715236582
152,punta arenas,-53.15,-70.9167,4.06,81,75,4.12,CL,1715236582
153,nizhniy odes,63.6445,54.856,0.26,100,100,3.81,RU,1715236583
154,sitka,57.0531,-135.33,6.94,81,100,1.54,US,1715236584
155,sao joao da barra,-21.6403,-41.0511,23.26,91,0,3.67,BR,1715236585
156,luanda,-8.8368,13.2343,26.0,87,75,2.06,AO,1715236585
157,mahina,-17.5065,-149.489,26.87,74,20,1.03,PF,1715236586
158,grajau,-5.8194,-46.1386,22.8,86,98,1.43,BR,1715236587
159,yardimli,38.9206,48.2372,15.01,61,9,3.13,AZ,1715236588
160,jayapura,-2.5333,140.7,27.66,91,100,1.21,ID,1715236589
161,longyearbyen,78.2186,15.6401,0.91,64,40,8.23,SJ,1715236589
162,bardai,11.65,7.2333,28.67,53,36,6.16,NG,1715236590
163,vuktyl,63.8567,57.3094,-0.5,85,100,1.79,RU,1715236591
164,bamboo flat,11.7,92.7167,34.05,62,40,4.12,IN,1715236592
165,dauphin,51.1494,-100.0502,6.08,87,0,1.54,CA,1715236592
166,zaozersk,69.4005,32.4476,-1.73,85,86,2.09,RU,1715236593
167,maumere,-8.6199,122.2111,28.65,72,100,0.65,ID,1715236594
168,cold springs,39.6802,-119.9766,8.71,45,0,5.14,US,1715236595
169,aasiaat,68.7098,-52.8699,-10.56,85,24,2.43,GL,1715236595
170,honiara,-9.4333,159.95,27.78,84,100,0.28,SB,1715236596
171,siniscola,40.5719,9.6922,17.75,91,100,2.17,IT,1715236597
172,villa gesell,-37.2639,-56.973,5.59,64,0,9.24,AR,1715236598
173,navirai,-23.065,-54.1906,22.79,57,25,1.42,BR,1715236599
174,auki,-8.7676,160.7034,25.79,92,100,1.31,SB,1715236599
175,geraldton,-28.7667,114.6,26.23,36,100,8.23,AU,1715236600
176,lewiston orchards,46.3804,-116.9754,9.95,73,0,2.06,US,1715236601
177,lycksele,64.5954,18.6735,1.93,80,100,2.57,SE,1715236602
178,khandyga,62.6667,135.6,4.1,84,100,3.38,RU,1715236602
179,rosetta,31.4044,30.4164,23.55,52,0,5.24,EG,1715236603
180,ouled mimoun,34.9047,-1.0339,12.01,33,5,1.94,DZ,1715236604
181,brookings,44.3114,-96.7984,12.0,87,100,4.12,US,1715236407
182,moranbah,-22.0016,148.0466,25.31,51,100,8.21,AU,1715236413
183,ugoofaaru,5.6667,73.0,29.56,75,100,5.13,MV,1715236606
184,robore,-18.3333,-59.75,22.03,98,88,2.17,BO,1715236607
185,lompoc,34.6391,-120.4579,11.44,92,0,0.0,US,1715236608
186,la passe,45.5549,-0.8967,13.01,81,11,6.08,FR,1715236608
187,mil'kovo,55.6078,37.7956,2.45,63,100,7.1,RU,1715236609
188,makhambet,47.6667,51.5833,12.99,35,0,5.85,KZ,1715236610
189,sanctuary point,-35.1114,150.629,17.96,82,100,0.52,AU,1715236611
190,fort bragg,35.139,-79.006,20.91,90,0,3.09,US,1715236611
191,mumbwa,-14.9783,27.0619,22.63,39,93,4.48,ZM,1715236612
192,monte buey,-32.9164,-62.4567,5.93,48,0,1.49,AR,1715236613
193,dalnerechensk,45.9339,133.7225,17.99,20,0,6.53,RU,1715236614
194,vila velha,-20.3297,-40.2925,23.3,97,0,1.54,BR,1715236614
195,sodankyla,67.4167,26.6,-0.84,91,38,1.59,FI,1715236343
196,fale old settlement,-9.3852,-171.2468,29.43,72,100,2.15,TK,1715236616
197,wailua homesteads,22.0669,-159.378,24.24,84,75,4.63,US,1715236617
198,hiji,33.3667,131.5333,16.94,37,0,3.76,JP,1715236618
199,tambacounda,13.7539,-13.7586,31.03,40,0,5.14,SN,1715236618
200,huilong,31.8111,121.655,19.16,53,100,5.81,CN,1715236619
201,lata,40.1629,-8.3327,15.92,59,100,1.78,PT,1715236620
202,kijang,35.2442,129.2139,18.85,63,0,7.39,KR,1715236621
203,mahenge,-8.6833,36.7167,21.14,70,83,1.45,TZ,1715236621
204,kandyagash,49.4744,57.4233,11.16,40,0,9.36,KZ,1715236622
205,kapa'a,22.0752,-159.319,24.99,83,75,4.63,US,1715236623
206,wajir,1.7471,40.0573,27.98,74,75,4.63,KE,1715236624
207,cukai,4.25,103.4167,32.97,64,61,3.52,MY,1715236624
208,biltine,14.5333,20.9167,37.43,10,0,6.68,TD,1715236625
209,pacasmayo,-7.4006,-79.5714,19.26,89,99,3.03,PE,1715236626
210,qianzhou,28.3167,109.7167,23.2,72,100,1.76,CN,1715236627
211,cabo san lucas,22.8909,-109.9124,24.73,44,43,5.95,MX,1715236104
212,lagoa vermelha,-28.2086,-51.5258,14.36,99,61,2.51,BR,1715236628
213,kingston,17.997,-76.7936,27.53,78,20,1.54,JM,1715236629
214,tuy hoa,13.0833,109.3,31.74,60,75,4.99,VN,1715236630
215,reserva,-24.6503,-50.8506,17.38,77,4,0.35,BR,1715236630
216,hammerfest,70.6634,23.6821,3.25,48,0,6.17,NO,1715236631
217,flying fish cove,-10.4217,105.6791,29.82,79,75,6.17,CX,1715236632
218,obo,5.3998,26.4869,32.46,35,97,2.38,CF,1715236633
219,sisimiut,66.9395,-53.6735,-6.36,80,5,3.47,GL,1715236633
220,basco,20.4487,121.9702,26.79,69,62,12.09,PH,1715236634
221,kani keli,-12.9536,45.1033,29.59,71,89,7.96,YT,1715236635
222,berezovyy,51.6667,135.7,11.57,33,99,6.82,RU,1715236636
223,kihancha,-1.1838,34.6262,21.8,76,21,5.72,KE,1715236637
224,oliva de la frontera,38.276,-6.9187,17.14,46,88,1.57,ES,1715236637
225,belyy yar,53.6039,91.3903,17.94,29,0,4.0,RU,1715236638
226,glasgow,55.8652,-4.2576,13.78,90,75,5.14,GB,1715236639
227,punta cardon,11.6581,-70.215,27.12,87,100,8.63,VE,1715236640
